Unnamed: 0,row ID,row ID.1,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,Compound Key,Standard Type,Standard Relation,IC50,Standard Units,Structure,Data Validity Comment,Comment,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,smiles,Properties,Cluster,Cluster (to number),Tanimoto,inout,cluster
0,Row7,Row2978,CHEMBL3679636,,0,497.55,BDBM9048,IC50,=,0.34,nM,N[C@]1(C[C@](O)(C1)C2CC2)c3ccc(cc3)-c4nc5ccc6nnc(C(F)F)n6c5cc4-c7ccccc7,,17442.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,N[C@]1(C[C@](O)(C1)C2CC2)c3ccc(cc3)-c4nc5ccc6nnc(C(F)F)n6c5cc4-c7ccccc7,,Row3130,6,0.3362515270709991,in,6
1,Row8,Row1440,CHEMBL3679632,,0,471.51,BDBM102310,IC50,=,0.38,nM,C[C@@]1(O)C[C@@](N)(C1)c2ccc(cc2)-c3nc4ccc5nnc(C(F)F)n5c4cc3-c6ccccc6,,219804.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,C[C@@]1(O)C[C@@](N)(C1)c2ccc(cc2)-c3nc4ccc5nnc(C(F)F)n5c4cc3-c6ccccc6,,Row3130,6,0.3314467072486877,in,6
2,Row20,Row1870,CHEMBL3679635,,0,518.63,BDBM8727,IC50,=,0.7,nM,N[C@]1(C[C@](O)(C1)C2CC2)c3ccc(cc3)-c4nc5ccc6nnc(C7NNCN7)n6c5cc4-c8ccccc8,,17441.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,N[C@]1(C[C@](O)(C1)C2CC2)c3ccc(cc3)-c4nc5ccc6nnc(C7NNCN7)n6c5cc4-c8ccccc8,,Row3130,6,0.3174762725830078,in,6
3,Row189,Row2112,CHEMBL3679633,,0,469.59,BDBM102311,IC50,=,2.3,nM,NC1(CCC1)c2ccc(cc2)-c3nc4ccc(=N)n(c4cc3-c5ccccc5)C(=N)c6ccccc6,,219800.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,NC1(CCC1)c2ccc(cc2)-c3nc4ccc(=N)n(c4cc3-c5ccccc5)C(=N)c6ccccc6,,Row3130,6,0.4066004753112793,in,6
4,Row445,Row3130,CHEMBL3679629,,0,408.51,BDBM102307,IC50,=,6.1,nM,NC(=N)n1c(=N)ccc2nc(c(cc12)-c3ccccc3)-c4ccc(cc4)C5(N)CCC5,,219801.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,NC(=N)n1c(=N)ccc2nc(c(cc12)-c3ccccc3)-c4ccc(cc4)C5(N)CCC5,,Row3130,6,0.4093811511993408,in,6
5,Row512,Row827,CHEMBL1079175,MK-2206,2,407.48,17,IC50,=,8.0,nM,NC1(CCC1)c2ccc(cc2)-c3nc4ccn5c(=O)[nH]nc5c4cc3-c6ccccc6,,,CHEMBL1111477,Inhibition of Akt1,B,BAO_0000357,single protein format,None,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1155389,1,Scientific Literature,J. Med. Chem.,2010,NC1(CCC1)c2ccc(cc2)-c3nc4ccn5c(=O)[nH]nc5c4cc3-c6ccccc6,,Row3130,6,0.3919934928417206,in,6
6,Row530,Row3511,CHEMBL3679630,,0,407.52,BDBM102308,IC50,=,8.2,nM,CC(=N)n1c2cc(c(nc2ccc1=N)-c3ccc(cc3)C4(N)CCC4)-c5ccccc5,,219802.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,CC(=N)n1c2cc(c(nc2ccc1=N)-c3ccc(cc3)C4(N)CCC4)-c5ccccc5,,Row3130,6,0.4090772867202759,in,6
7,Row584,Row2111,CHEMBL3679631,,0,505.57,BDBM102309,IC50,=,10.0,nM,NC1(CC(F)(F)C1)c2ccc(cc2)-c3nc4ccc(=N)n(c4cc3-c5ccccc5)C(=N)c6ccccc6,,219803.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,NC1(CC(F)(F)C1)c2ccc(cc2)-c3nc4ccc(=N)n(c4cc3-c5ccccc5)C(=N)c6ccccc6,,Row3130,6,0.3479406833648681,in,6
8,Row866,Row351,CHEMBL3679634,,0,528.62,BDBM102312,IC50,=,39.0,nM,NC(=O)n1c(=N)ccc2nc(c(cc12)-c3ccccc3)-c4ccc(cc4)C5(CCC5)NC(=O)Cc6cnccc6,,219799.0,CHEMBL3705350,Kinase Assay: Activated Akt isoforms and pleckstrin homology domain deletion constructs were assayed utilizing a GSK-derived biotinylated peptide substrate. The extend of peptide was determined by Homogeneous Time Resolved Fluorescence (HTRF) using a lanthanide chelate (Lance)-coupled monoclonal antibody specific for the phosphopeptide in combination with a streptavidin-linked allophycocyanin (SA-APC) fluorophore which will bind to the biotin moiety on the peptide.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638765,37,BindingDB Database,,2013,NC(=O)n1c(=N)ccc2nc(c(cc12)-c3ccccc3)-c4ccc(cc4)C5(CCC5)NC(=O)Cc6cnccc6,,Row3130,6,0.3053000271320343,in,6
9,Row1362,Row3272,CHEMBL2035017,,0,350.47,3,IC50,=,243.0,nM,NC1(CCC1)c2ccc(cc2)-c3nc4ccccc4cc3-c5ccccc5,,,CHEMBL2039955,Inhibition of AKT1,B,BAO_0000357,single protein format,None,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL2034885,1,Scientific Literature,J. Med. Chem.,2012,NC1(CCC1)c2ccc(cc2)-c3nc4ccccc4cc3-c5ccccc5,,Row3130,6,0.4021868705749511,in,6
