Unnamed: 0,row ID,row ID.1,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,Compound Key,Standard Type,Standard Relation,IC50,Standard Units,Structure,Data Validity Comment,Comment,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,smiles,Properties,Cluster,Cluster (to number),Tanimoto,inout,cluster
0,Row1092,Row3391,CHEMBL3684436,,0,380.46,BDBM103149,IC50,=,99.0,nM,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,220871.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,Row3391,71,0.3117240369319916,out,6
1,Row1155,Row1089,CHEMBL3684528,,0,459.35,BDBM103242,IC50,=,130.0,nM,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5cc(Br)ccc5Nc6ncccc6-n34,,220956.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5cc(Br)ccc5Nc6ncccc6-n34,,Row3391,71,0.2793972492218017,out,6
2,Row1178,Row3118,CHEMBL3684531,,0,366.43,BDBM103245,IC50,=,140.0,nM,NC1(CC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,220959.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,Row3391,71,0.2767584025859833,out,6
3,Row1538,Row2867,CHEMBL3684532,,0,394.48,BDBM103246,IC50,=,490.0,nM,Cc1cc2Nc3ncccc3-n4c(nnc4-c5ccc(cc5)C6(N)CCC6)-c2cc1,,220960.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,Cc1cc2Nc3ncccc3-n4c(nnc4-c5ccc(cc5)C6(N)CCC6)-c2cc1,,Row3391,71,0.2895677983760834,out,6
4,Row1547,Row1081,CHEMBL3684526,,0,408.51,BDBM103240,IC50,=,500.0,nM,NC1(CCCCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,220954.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCCCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncccc6-n34,,Row3391,71,0.2928719222545624,out,6
5,Row1718,Row3918,CHEMBL3684525,,0,394.48,BDBM103239,IC50,=,960.0,nM,Cc1cc2-c3nnc(-c4ccc(cc4)C5(N)CCC5)n3-c6cccnc6Nc2cc1,,220953.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,Cc1cc2-c3nnc(-c4ccc(cc4)C5(N)CCC5)n3-c6cccnc6Nc2cc1,,Row3391,71,0.2851356565952301,out,6
6,Row1779,Row3641,CHEMBL3684533,,0,456.55,BDBM103247,IC50,=,1200.0,nM,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5cc(ccc5Nc6ncccc6-n34)-c7ccccc7,,220961.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5cc(ccc5Nc6ncccc6-n34)-c7ccccc7,,Row3391,71,0.3168384730815887,out,6
7,Row1807,Row2866,CHEMBL3684527,,0,394.48,BDBM103241,IC50,=,1400.0,nM,Cc1cccc-2c1Nc3ncccc3-n4c(nnc42)-c5ccc(cc5)C6(N)CCC6,,220955.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,Cc1cccc-2c1Nc3ncccc3-n4c(nnc42)-c5ccc(cc5)C6(N)CCC6,,Row3391,71,0.2860289514064789,out,6
8,Row1919,Row811,CHEMBL3684539,,0,456.55,BDBM103253,IC50,=,2600.0,nM,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncc(cc6-n34)-c7ccccc7,,220967.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ncc(cc6-n34)-c7ccccc7,,Row3391,71,0.3229322433471679,out,6
9,Row2019,Row1142,CHEMBL3684529,,0,380.46,BDBM103243,IC50,=,5000.0,nM,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ccncc6-n43,,220957.0,CHEMBL3705356,Biochemical Assay: Biochemical assay using Akt AlphaScreen (Amplified Luminescent Proximity Homogeneous Assay) technology.,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL3638978,37,BindingDB Database,,2013.0,NC1(CCC1)c2ccc(cc2)-c3nnc4-c5ccccc5Nc6ccncc6-n43,,Row3391,71,0.3196254670619964,out,6
